"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","05.01.2024 13:30 - 05.01.2024 13:45 (CET/CEST)","8664","11392"
"BZN|ES","05.01.2024 13:45 - 05.01.2024 14:00 (CET/CEST)","8772","11372"
"BZN|ES","05.01.2024 14:00 - 05.01.2024 14:15 (CET/CEST)","8616","11312"
"BZN|ES","05.01.2024 14:15 - 05.01.2024 14:30 (CET/CEST)","9028","11188"
"BZN|ES","05.01.2024 14:30 - 05.01.2024 14:45 (CET/CEST)","8900","11028"
"BZN|ES","05.01.2024 14:45 - 05.01.2024 15:00 (CET/CEST)","9140","10976"
"BZN|ES","05.01.2024 15:00 - 05.01.2024 15:15 (CET/CEST)","8916","10984"
"BZN|ES","05.01.2024 15:15 - 05.01.2024 15:30 (CET/CEST)","8320","10928"
"BZN|ES","05.01.2024 15:30 - 05.01.2024 15:45 (CET/CEST)","8204","10548"
"BZN|ES","05.01.2024 15:45 - 05.01.2024 16:00 (CET/CEST)","8068","10084"
"BZN|ES","05.01.2024 16:00 - 05.01.2024 16:15 (CET/CEST)","7948","9484"
"BZN|ES","05.01.2024 16:15 - 05.01.2024 16:30 (CET/CEST)","7552","8832"
"BZN|ES","05.01.2024 16:30 - 05.01.2024 16:45 (CET/CEST)","6484","7648"
"BZN|ES","05.01.2024 16:45 - 05.01.2024 17:00 (CET/CEST)","5532","6292"
"BZN|ES","05.01.2024 17:00 - 05.01.2024 17:15 (CET/CEST)","4692","4844"
"BZN|ES","05.01.2024 17:15 - 05.01.2024 17:30 (CET/CEST)","3760","3484"
"BZN|ES","05.01.2024 17:30 - 05.01.2024 17:45 (CET/CEST)","2556","2276"
"BZN|ES","05.01.2024 17:45 - 05.01.2024 18:00 (CET/CEST)","1552","1312"
"BZN|ES","05.01.2024 18:00 - 05.01.2024 18:15 (CET/CEST)","792","648"
"BZN|ES","05.01.2024 18:15 - 05.01.2024 18:30 (CET/CEST)","320","280"
"BZN|ES","05.01.2024 18:30 - 05.01.2024 18:45 (CET/CEST)","176","144"
"BZN|ES","05.01.2024 18:45 - 05.01.2024 19:00 (CET/CEST)","132","108"
"BZN|ES","05.01.2024 19:00 - 05.01.2024 19:15 (CET/CEST)","124","92"
"BZN|ES","05.01.2024 19:15 - 05.01.2024 19:30 (CET/CEST)","120","68"
"BZN|ES","05.01.2024 19:30 - 05.01.2024 19:45 (CET/CEST)","112","64"
"BZN|ES","05.01.2024 19:45 - 05.01.2024 20:00 (CET/CEST)","108","28"
"BZN|ES","05.01.2024 20:00 - 05.01.2024 20:15 (CET/CEST)","88","12"
"BZN|ES","05.01.2024 20:15 - 05.01.2024 20:30 (CET/CEST)","72","12"
"BZN|ES","05.01.2024 20:30 - 05.01.2024 20:45 (CET/CEST)","60","12"
"BZN|ES","05.01.2024 20:45 - 05.01.2024 21:00 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 21:00 - 05.01.2024 21:15 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 21:15 - 05.01.2024 21:30 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 21:30 - 05.01.2024 21:45 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 21:45 - 05.01.2024 22:00 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 22:00 - 05.01.2024 22:15 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 22:15 - 05.01.2024 22:30 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 22:30 - 05.01.2024 22:45 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 22:45 - 05.01.2024 23:00 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 23:00 - 05.01.2024 23:15 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 23:15 - 05.01.2024 23:30 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 23:30 - 05.01.2024 23:45 (CET/CEST)","36","12"
"BZN|ES","05.01.2024 23:45 - 06.01.2024 00:00 (CET/CEST)","36","12"
"BZN|ES","07.01.2024 00:00 - 07.01.2024 00:15 (CET/CEST)","12","64"
"BZN|ES","07.01.2024 00:15 - 07.01.2024 00:30 (CET/CEST)","12","64"
"BZN|ES","07.01.2024 00:30 - 07.01.2024 00:45 (CET/CEST)","12","64"
"BZN|ES","07.01.2024 00:45 - 07.01.2024 01:00 (CET/CEST)","12","64"
